sentence,hypothesis,translation,clean_sentence,clean_hypothesis,clean_translation,training_time
由于线上游戏外挂造成大量玩家流失而造成线上游戏营运商大量资金损失。,"Especially graphics from the outside socket, makes gaming softness, third supports for gaming and PC.",The plug-in of the online games caused a huge loss of players and money of the game operators.,由于线上游戏外挂造成大量玩家流失而造成线上游戏营运商大量资金损失,especially graphics from the outside socket makes gaming softness third supports for gaming and pc,the plug in of the online games caused a huge loss of players and money of the game operators,4363.90380191803
现任校长为杨伟贤先生。,ua,"The current president, Sir Yang Weixian.",现任校长为杨伟贤先生,ua,the current president sir yang weixian,4363.90380191803
布尔人口变化图示,destroys the mic and appeared,The variation diagram of the population in Boer.,布尔人口变化图示,destroys the mic and appeared,the variation diagram of the population in boer,4363.90380191803
三春町是位于福岛县田村郡的一町。,This is damage equivalent to the damage given by the current distance.,"Koken’in Temple is located in Tamura, Fukushima-ken.",三春町是位于福岛县田村郡的一町,this is damage equivalent to the damage given by the current distance,koken in temple is located in tamura fukushima ken,4363.90380191803
并且为避免在游行中出现暴力或静坐而特设了一个委员会。,bookmarking the Illusion of Justice by my National East Bank,And a special committee was set in order to avoid the violence and congestions in demonstration.,并且为避免在游行中出现暴力或静坐而特设了一个委员会,bookmarking the illusion of justice by my national east bank,and a special committee was set in order to avoid the violence and congestions in demonstration,4363.90380191803
许多应用软件等。,Because the path we arranged to shoot.,Lots of applications and so on.,许多应用软件等,because the path we arranged to shoot,lots of applications and so on,4363.90380191803
曾经是中国最大的鸦片贩子。,Xi Jinping is the best webizen ever,He was once the biggest opium traffickers in China.,曾经是中国最大的鸦片贩子,xi jinping is the best webizen ever,he was once the biggest opium traffickers in china,4363.90380191803
该党目前为执政联盟成员之一。,To break Patrick's brain categories in front of theWe witness the summons,This party is one of the members of the ruling coalition.,该党目前为执政联盟成员之一,to break patrick s brain categories in front of thewe witness the summons,this party is one of the members of the ruling coalition,4363.90380191803
利文斯通是位于英国苏格兰西洛锡安的最大城市。,"Здесьini dem einem Saen ""...hilarized in China in c...","Livingstone is the biggest city in West Lothian, Scotland.",利文斯通是位于英国苏格兰西洛锡安的最大城市,здесьini dem einem saen hilarized in china in c,livingstone is the biggest city in west lothian scotland,4363.90380191803
拉格拉沃人口变化图示,mute the speaker,The variation diagram of the population in Lagrave.,拉格拉沃人口变化图示,mute the speaker,the variation diagram of the population in lagrave,4363.90380191803
皇庭海景酒店是澳门其中一所国际标准评定的四星级酒店。,the Jack Rat Tower is a square ま endangered screen database store.,Pousada Marina Infante is an international standard hotel with four stars.,皇庭海景酒店是澳门其中一所国际标准评定的四星级酒店,the jack rat tower is a square ま endangered screen database store,pousada marina infante is an international standard hotel with four stars,4363.90380191803
她的曾祖父张焕纶为中国近代小学教育的创始人。,"His political pays for Chinese colleges do college arrangements I think He believes in the political church By his self, he wants to drink Because he doesn't want to smoke",Her great grandfather is the founder of China’s primary education.,她的曾祖父张焕纶为中国近代小学教育的创始人,his political pays for chinese colleges do college arrangements i think he believes in the political church by his self he wants to drink because he doesn t want to smoke,her great grandfather is the founder of china s primary education,4363.90380191803
辅助室内安装预热锅炉及其控制柜。,The BECWD have stopped controlling soil hierarch.,Helping the setup of the preheater and its control cabinet.,辅助室内安装预热锅炉及其控制柜,the becwd have stopped controlling soil hierarch,helping the setup of the preheater and its control cabinet,4363.90380191803
这些日记随着麦坎德斯多变的命运一起从狂喜的心情写到冷酷的现实。,The promised,"These diaries are McCandless’s ups and downs in life, including personal happiness and brutal reality.",这些日记随着麦坎德斯多变的命运一起从狂喜的心情写到冷酷的现实,the promised,these diaries are mccandless s ups and downs in life including personal happiness and brutal reality,4363.90380191803
轴心偏移可以利用针盘量规来量测。,Then use medium useful Meisa Kim sizes,The desaxe could be measured by the dial gauges.,轴心偏移可以利用针盘量规来量测,then use medium useful meisa kim sizes,the desaxe could be measured by the dial gauges,4363.90380191803
幸福是一种持续时间较长的心灵的满足。,"Let's make brief short relay of new PI,",Happiness is a lasting satisfaction state in heart.,幸福是一种持续时间较长的心灵的满足,let s make brief short relay of new pi,happiness is a lasting satisfaction state in heart,4363.90380191803
该物种的模式产地在甘肃临潭。,Department traditional masks are infected in dryouping精,"The pattern of this specie originates from Lintan county, Gangsu Province.",该物种的模式产地在甘肃临潭,department traditional masks are infected in dryouping精,the pattern of this specie originates from lintan county gangsu province,4363.90380191803
中华民国时期仍沿袭清代所置二十旗。,"It is a veiled outfits of Chinese citizens, 20 people inkkein",The twenty administrative divisions in the Qing Dynasty was followed by the Republic of China.,中华民国时期仍沿袭清代所置二十旗,it is a veiled outfits of chinese citizens 20 people inkkein,the twenty administrative divisions in the qing dynasty was followed by the republic of china,4363.90380191803
主薄一至二人。,same job for F 오빠,One or two deputy governors.,主薄一至二人,same job for f 오빠,one or two deputy governors,4363.90380191803
中华全国总工会向孟二冬颁发了全国五一劳动奖章。,The Chinese Minor Division Office finally helped the Chinese kuoyi冷 dumplings with their own concern.,All China Federation of Trade Unions (ACFTU) awarded Meng Erdong the national labor medal.,中华全国总工会向孟二冬颁发了全国五一劳动奖章,the chinese minor division office finally helped the chinese kuoyi冷 dumplings with their own concern,all china federation of trade unions awarded meng erdong the national labor medal,4363.90380191803
咖啡好喝，点心也很好吃,Durango with dashi is very good,The coffee and dessert are delicious.,咖啡好喝 点心也很好吃,durango with dashi is very good,the coffee and dessert are delicious,4363.90380191803
一场由该校中国大陆学生蔡博艺参选淡江大学学生会选举而引起的一系列争议事件。,The film has been told to be》,A series of controversial events happened because of the student from Mainland China named Cai Boyi when he took part in the election of student union in Tamkang University.,一场由该校中国大陆学生蔡博艺参选淡江大学学生会选举而引起的一系列争议事件,the film has been told to be,a series of controversial events happened because of the student from mainland china named cai boyi when he took part in the election of student union in tamkang university,4363.90380191803
也是第五个来自亚洲的环姐。,"and also be Valentinesi, the fifth Frenchiger in the mountains of Anchovicρα",She is the fifth Miss Universe from Asia.,也是第五个来自亚洲的环姐,and also be valentinesi the fifth frenchiger in the mountains of anchovicρα,she is the fifth miss universe from asia,4363.90380191803
首府为德累斯顿。,It will seem that way,The capital is Dresden.,首府为德累斯顿,it will seem that way,the capital is dresden,4363.90380191803
适用于多媒体有源音箱和声卡等设备的认证。,ャ S For The Media and the Organization and Weaponizing System,It is used on the certification of multimedia active speakers and sound cards.,适用于多媒体有源音箱和声卡等设备的认证,ャ s for the media and the organization and weaponizing system,it is used on the certification of multimedia active speakers and sound cards,4363.90380191803
没有太多阿根廷龙的化石被发现。,There are no autontiders like Arden with words,The fossils without Argentine dragons were found.,没有太多阿根廷龙的化石被发现,there are no autontiders like arden with words,the fossils without argentine dragons were found,4363.90380191803
中东金花茶是山茶科山茶属的植物。,怎麼辦,Golden camellia in Middle East belongs to the genus camellia of the camelliaceae family.,中东金花茶是山茶科山茶属的植物,怎麼辦,golden camellia in middle east belongs to the genus camellia of the camelliaceae family,4363.90380191803
实化是概念分析与知识表示中最常用的技术。,The term is conducting a awareness and effective attempt at expressing imageresses,Materialization is the most frequently used technique in concept analysis and knowledge representation.,实化是概念分析与知识表示中最常用的技术,the term is conducting a awareness and effective attempt at expressing imageresses,materialization is the most frequently used technique in concept analysis and knowledge representation,4363.90380191803
恩贾梅纳。,to make sure that you do not get MARCHED,Ndjamena.,恩贾梅纳,to make sure that you do not get marched,ndjamena,4363.90380191803
无理方程是指出现了关于未知数的无理表达式的方程。,The fixed position of Alouba benefit power lies in its position,Irrational equations refers to those whose equations contain unknown numbers.,无理方程是指出现了关于未知数的无理表达式的方程,the fixed position of alouba benefit power lies in its position,irrational equations refers to those whose equations contain unknown numbers,4363.90380191803
这几天因为气温低,speaks English,It is with relatively lower temperature in recent days.,这几天因为气温低,speaks english,it is with relatively lower temperature in recent days,4363.90380191803
母陆氏。,Through it,Mother Mrs. Lu.,母陆氏,through it,mother mrs lu,4363.90380191803
加入中国共产党。,Add Chinese Communist Party,Join the Chinese Communist Party.,加入中国共产党,add chinese communist party,join the chinese communist party,4363.90380191803
牛顿对抛体运动中冲击深度的近似仅仅基于对动量因素的考量。,Frequent,"Newton’s approximation toward the depth impact of the projectile motions, is based on his consideration of the momentum factor only.",牛顿对抛体运动中冲击深度的近似仅仅基于对动量因素的考量,frequent,newton s approximation toward the depth impact of the projectile motions is based on his consideration of the momentum factor only,4363.90380191803
曾任中国人民解放军南京军区后勤部卫生部政委。,the North Korean People's Liberation Army looks very vey angry at the boss,"He was once appointed as the commissar of the logistics department in Nanjing military region, the Chinese People’s Liberation Army.",曾任中国人民解放军南京军区后勤部卫生部政委,the north korean people s liberation army looks very vey angry at the boss,he was once appointed as the commissar of the logistics department in nanjing military region the chinese people s liberation army,4363.90380191803
大都会铁路是世界首家修建地铁的公司。,따透魅鐵路是世界首家修建的地鐵的公司,The Metropolitan Railway Company is the first corporation building railway in the world.,大都会铁路是世界首家修建地铁的公司,따透魅鐵路是世界首家修建的地鐵的公司,the metropolitan railway company is the first corporation building railway in the world,4363.90380191803
在场上的位置是中坚。,The position of the Changren is in the middle.,The seat is on the center.,在场上的位置是中坚,the position of the changren is in the middle,the seat is on the center,4363.90380191803
殿试登进士第三甲第三十名。,was Companies C,One got the 30th position and became a Jinshi in the final imperial examination presided by the emperor.,殿试登进士第三甲第三十名,was companies c,one got the 30th position and became a jinshi in the final imperial examination presided by the emperor,4363.90380191803
他曾被广泛认为是荷兰着名门将云达沙的接班人。,"The Hundred Rice信 Center was not constructed, which caused deaf Ripped",He was widely recognized as the successor of the famous goal keeper Edwin van der Sar.,他曾被广泛认为是荷兰着名门将云达沙的接班人,the hundred rice信 center was not constructed which caused deaf ripped,he was widely recognized as the successor of the famous goal keeper edwin van der sar,4363.90380191803
祖父张永德。,Painting is taken kostenstances,Grandfather Zahng Yongde.,祖父张永德,painting is taken kostenstances,grandfather zahng yongde,4363.90380191803
千绵车站大村线的沿线车站。,First end of unprecedented speed debit Power Gleichung,Qianmian Station is one of the stop in the Dacun line.,千绵车站大村线的沿线车站,first end of unprecedented speed debit power gleichung,qianmian station is one of the stop in the dacun line,4363.90380191803
售出军舰给日清双方的英国及当时各军事大国极为关注此场海战。,"These countries dep Golden newspapers propkommen it to the beautiful firewood of the我要imas. According to the United States, our army orders cars to kill chaes.","The British, who sold warships to Japan and the Qing government at the same time, together with other major military powers at that time, paid great attention to this naval battle.",售出军舰给日清双方的英国及当时各军事大国极为关注此场海战,these countries dep golden newspapers propkommen it to the beautiful firewood of the我要imas according to the united states our army orders cars to kill chaes,the british who sold warships to japan and the qing government at the same time together with other major military powers at that time paid great attention to this naval battle,4363.90380191803
该物种的模式产地在意大利。,The property of cutting and trimming was then completed.,The type locality of this specie originates from Italy.,该物种的模式产地在意大利,the property of cutting and trimming was then completed,the type locality of this specie originates from italy,4363.90380191803
外交代表机构通常设在另一国的首都。,The outer campus has Episode 11 in common.,The diplomatic mission of a country is always set in the capital of other countries.,外交代表机构通常设在另一国的首都,the outer campus has episode 11 in common,the diplomatic mission of a country is always set in the capital of other countries,4363.90380191803
汇总媒体的网址上对游戏的评论褒贬参半。,for maliciousrent Trump paper söylages.,"In summary, there are countless cons and pros toward online games.",汇总媒体的网址上对游戏的评论褒贬参半,for maliciousrent trump paper söylages,in summary there are countless cons and pros toward online games,4363.90380191803
帝国议会时期。,State aside is a cycle,During the period of imperial parliament.,帝国议会时期,state aside is a cycle,during the period of imperial parliament,4363.90380191803
躲在河里的妇女被命令出来沿着河岸坐下。,Originally the contaminated memories first accidents can't되 to the post Marine consistency should be kept in there Może there's this fall If there's TV I mean,Women hidden in rivers are forced to sit down along the banks.,躲在河里的妇女被命令出来沿着河岸坐下,originally the contaminated memories first accidents can t되 to the post marine consistency should be kept in there może there s this fall if there s tv i mean,women hidden in rivers are forced to sit down along the banks,4363.90380191803
红花砂仁为姜科豆蔻属下的一个种。,"The red holes in the paintings are a kind of pie, the outline of the figure image.",Hognhuasaren belongs to the genus cardamom.,红花砂仁为姜科豆蔻属下的一个种,the red holes in the paintings are a kind of pie the outline of the figure image,hognhuasaren belongs to the genus cardamom,4363.90380191803
群马草津温泉部比赛。,Pass Sonda can get many points,Gunma Kusatsu Hot Springs Competition.,群马草津温泉部比赛,pass sonda can get many points,gunma kusatsu hot springs competition,4363.90380191803
干隆三年上任台湾府儒学教授。,"In 3 years' ago, we consider online advice from women at Te","In the third year of Qianlong emperor (A.D. 1738), he was appointed as the professor of the Confucianism.",干隆三年上任台湾府儒学教授,in 3 years ago we consider online advice from women at te,in the third year of qianlong emperor he was appointed as the professor of the confucianism,4363.90380191803
赵在选举期间的反对同性恋言论备受注目。,Next Tuesday.,Zhao’s remarks against home-sexuality during the election became an eye-catching focus.,赵在选举期间的反对同性恋言论备受注目,next tuesday,zhao s remarks against home sexuality during the election became an eye catching focus,4363.90380191803
肛门在身体的后端。,Mark some details,The anus is on the bottom of a body.,肛门在身体的后端,mark some details,the anus is on the bottom of a body,4363.90380191803
这个作用可以使得对乙酰氨基酚。,This做用可以使得对以先按级分,It could work on acetaminophen.,这个作用可以使得对乙酰氨基酚,this做用可以使得对以先按级分,it could work on acetaminophen,4363.90380191803
以下专辑皆为多位创作者联合之作品。,We should make more creative front and back,The following albums are all works with more than one creator.,以下专辑皆为多位创作者联合之作品,we should make more creative front and back,the following albums are all works with more than one creator,4363.90380191803
它常用于治疗消化性溃疡以及胃食管反流病。,"Root water is normally used for unstable sweet tooth filling or area tissues,",It is used to cure the peptic ulcer and gastroesophageal reflux disease (GERD).,它常用于治疗消化性溃疡以及胃食管反流病,root water is normally used for unstable sweet tooth filling or area tissues,it is used to cure the peptic ulcer and gastroesophageal reflux disease,4363.90380191803
而他亦拒绝减薪续约。,but he is only a bummer for仔,"However, he refused to renew a lease at the expenses of cutting salary.",而他亦拒绝减薪续约,but he is only a bummer for仔,however he refused to renew a lease at the expenses of cutting salary,4363.90380191803
安守廉是他取的中文名字。,nisunge drown in the Chinese name,An Shoulian is his Chinese name.,安守廉是他取的中文名字,nisunge drown in the chinese name,an shoulian is his chinese name,4363.90380191803
该城市是阿拉斯加州中央东部的城市。,This should Lindsay fell Bなく NBC,It is a city located in the east-center of the state of Alaska.,该城市是阿拉斯加州中央东部的城市,this should lindsay fell bなく nbc,it is a city located in the east center of the state of alaska,4363.90380191803
湖北省邮政管理局亦将发件方之经营许可证吊销。,There are markers for checks to obtain time-consight impartial care management parcels,Hubei Provincial Post Administration also revoked the business license of the sender.,湖北省邮政管理局亦将发件方之经营许可证吊销,there are markers for checks to obtain time consight impartial care management parcels,hubei provincial post administration also revoked the business license of the sender,4363.90380191803
秦琪是关羽在过五关斩六将中被斩的最后一名将领。,"Qinqi, the national mittisserie of the Panfire Withdrawal pours over soldiers",Qing Qi was the last leader who was killed by Guan Yu during the hardest times.,秦琪是关羽在过五关斩六将中被斩的最后一名将领,qinqi the national mittisserie of the panfire withdrawal pours over soldiers,qing qi was the last leader who was killed by guan yu during the hardest times,4363.90380191803
同年改广西学政。,Less 있어서,And he was appointed as Xuezheng in Guangxi Province in the same year at that time.,同年改广西学政,less 있어서,and he was appointed as xuezheng in guangxi province in the same year at that time,4363.90380191803
他于当年彻底征服了拉希德家族的杰拜勒舍迈尔酋长国。,He ruined the,He totally conquered the emirate of Jabal al-Shemer of the Rashid family.,他于当年彻底征服了拉希德家族的杰拜勒舍迈尔酋长国,he ruined the,he totally conquered the emirate of jabal al shemer of the rashid family,4363.90380191803
吴廷可是广平省广宁府丽水县大丰禄总大丰禄社出生。,Wu Lingkimak is a vast variety of mountains and river and water areas and journey is unprecedented,"Wutingke was born in Dafenglu, Lishui county, Guangning prefecture, Guangping Province.",吴廷可是广平省广宁府丽水县大丰禄总大丰禄社出生,wu lingkimak is a vast variety of mountains and river and water areas and journey is unprecedented,wutingke was born in dafenglu lishui county guangning prefecture guangping province,4363.90380191803
创始人是徐载弼和尹致昊。,elx Que Ni Read給我見《宇佑所猴子养》 Dark,The founders are Philip Jaisohn and Yun Chi-ho.,创始人是徐载弼和尹致昊,elx que ni read給我見 宇佑所猴子养 dark,the founders are philip jaisohn and yun chi ho,4363.90380191803
东望跨坐黯影山脉山肩的米那斯伊希尔。,X-rain,Minas Ishir is on the shoulder of the Anying mountains from the east sight.,东望跨坐黯影山脉山肩的米那斯伊希尔,x rain,minas ishir is on the shoulder of the anying mountains from the east sight,4363.90380191803
后者即土耳其人团伙则把重点放在贩运东欧妓女上。,During use and break off the dirt on Jongdjian one day The think that he runs on the east surface,"As the latter, Turkish groups focus on selling the prostitutes in Eastern Europe.",后者即土耳其人团伙则把重点放在贩运东欧妓女上,during use and break off the dirt on jongdjian one day the think that he runs on the east surface,as the latter turkish groups focus on selling the prostitutes in eastern europe,4363.90380191803
滨海莫厄朗。,做 universe,Moelan-sur-Mer,滨海莫厄朗,做 universe,moelan sur mer,4363.90380191803
皮马科二是位于美国亚利桑那州皮马县的一个人口普查指定地区。,DMICC k2 is set on the battering for his members to serve His Majesty in 3 countries,"Pimaco II is a designated place for census, located in Pima county, Arizona.",皮马科二是位于美国亚利桑那州皮马县的一个人口普查指定地区,dmicc k2 is set on the battering for his members to serve his majesty in 3 countries,pimaco ii is a designated place for census located in pima county arizona,4363.90380191803
担任山西省工业劳模。,139,One was awarded the title of the industrial model worker in Shanxi Province.,担任山西省工业劳模,139,one was awarded the title of the industrial model worker in shanxi province,4363.90380191803
南特大部分历史是与布列塔尼相关的。,With the big property and property block can,Nantes is related to the history of Bretagne.,南特大部分历史是与布列塔尼相关的,with the big property and property block can,nantes is related to the history of bretagne,4363.90380191803
后来他还曾拒绝日本人加入满洲国政府的邀请。,While the government Luna declares that Japan should join the 14th Nationalrotation Mysteries,And latter he also refused the Japanese’s invitation of joining the Manchurian government.,后来他还曾拒绝日本人加入满洲国政府的邀请,while the government luna declares that japan should join the 14th nationalrotation mysteries,and latter he also refused the japanese s invitation of joining the manchurian government,4363.90380191803
中间雀麦为禾本科雀麦属下的一个种。,Cheap Chinese charger,Zhongjianquemai belongs to the graminease family.,中间雀麦为禾本科雀麦属下的一个种,cheap chinese charger,zhongjianquemai belongs to the graminease family,4363.90380191803
明斯克发电机冰球俱乐部是一支位于白俄罗斯明斯克的冰球队。,"Uhww!!!,"" invited is a group of Wochen dazu from the north downer betta and the Ming Dynasty army.""","The Minsk Generator Hockey Club is hockey team in Minsk, Belarus.",明斯克发电机冰球俱乐部是一支位于白俄罗斯明斯克的冰球队,uhww invited is a group of wochen dazu from the north downer betta and the ming dynasty army,the minsk generator hockey club is hockey team in minsk belarus,4363.90380191803
延庆长公主去世。,"Minister Zhao, Your Highness, Pleaselichen.",The eldest princess Yanqing passed away.,延庆长公主去世,minister zhao your highness pleaselichen,the eldest princess yanqing passed away,4363.90380191803
出身于北海道。,On the left is the water,One was born in Hokkaido.,出身于北海道,on the left is the water,one was born in hokkaido,4363.90380191803
而后沃夫加也参与了协助布鲁诺收复地底矮人城秘银厅的冒险。,Lord Wofu had also visited from the wrong port and there were no ancestors and his own,And later Wulfgar also joined in the adventure where Bruno recovered the Mithril Hall of the Underground Dwarf City.,而后沃夫加也参与了协助布鲁诺收复地底矮人城秘银厅的冒险,lord wofu had also visited from the wrong port and there were no ancestors and his own,and later wulfgar also joined in the adventure where bruno recovered the mithril hall of the underground dwarf city,4363.90380191803
王剑钻石还将运送货物和人员至低地球轨道。,Practice No. but easy,Wang Jian has to transport goods and personnel to the lower Earth orbit.,王剑钻石还将运送货物和人员至低地球轨道,practice no but easy,wang jian has to transport goods and personnel to the lower earth orbit,4363.90380191803
唐朝武德四年复置。,"Tang Chao, 55, 4 years old","In the fourth year of Wude in the Tang Dynasty (A.D.621), it was reset.",唐朝武德四年复置,tang chao 55 4 years old,in the fourth year of wude in the tang dynasty it was reset,4363.90380191803
连接伊斯兰马巴德与自由克什米尔的道路经过它两次。,"Yin Qing, вый'er MOBA and dance together. After two dances excuse-mangücken in Jingke Tantre.",It has come across the road twice which connects Islamabad and free Kashmir.,连接伊斯兰马巴德与自由克什米尔的道路经过它两次,yin qing вый er moba and dance together after two dances excuse mangücken in jingke tantre,it has come across the road twice which connects islamabad and free kashmir,4363.90380191803
星宿一是长蛇座最亮的一颗恒星。,The nine others did the,The first one is the most shinning star among Hydra.,星宿一是长蛇座最亮的一颗恒星,the nine others did the,the first one is the most shinning star among hydra,4363.90380191803
与野车站的铁路车站。,The T-shirt challenge,Yuye station is a railway station.,与野车站的铁路车站,the t shirt challenge,yuye station is a railway station,4363.90380191803
红毛草为禾本科红毛草属下的一个种。,literAtlast,Hongmaocao belongs to the genus read grass.,红毛草为禾本科红毛草属下的一个种,literatlast,hongmaocao belongs to the genus read grass,4363.90380191803
现代研究者认为继体天皇的继承权大概在当时也颇有争议。,by changing the Bibleriages of35 the premonition of the based of the Kolleginnen streets,Modern researchers believe that it was also controversial for the right of succession by following emperors at that time.,现代研究者认为继体天皇的继承权大概在当时也颇有争议,by changing the bibleriages of35 the premonition of the based of the kolleginnen streets,modern researchers believe that it was also controversial for the right of succession by following emperors at that time,4363.90380191803
表示上榜中粗体表示冠军歌,National Park,The bold ones on board refer to the winners.,表示上榜中粗体表示冠军歌,national park,the bold ones on board refer to the winners,4363.90380191803
末任中华人民共和国卫生部部长。,Mor beef and meat cooked in Chinese,And finally one was appointed as the health minister of the People’s Republic of China.,末任中华人民共和国卫生部部长,mor beef and meat cooked in chinese,and finally one was appointed as the health minister of the people s republic of china,4363.90380191803
父宁阳侯陈懋。,Golden,Father Ningyang Duke Chen Mao.,父宁阳侯陈懋,golden,father ningyang duke chen mao,4363.90380191803
然蜀中亦为嘉州者有香而朵大。,They feel something in the Old black entreat and really have great Material,"However, people in Shuzhong blindly believed that flowers in Jiazhou were bigger with fragrance.",然蜀中亦为嘉州者有香而朵大,they feel something in the old black entreat and really have great material,however people in shuzhong blindly believed that flowers in jiazhou were bigger with fragrance,4363.90380191803
殿试登进士第三甲第一百六十六名。,Clyde was placed at 183 and 126,One got the 166th position in the final imperial examination.,殿试登进士第三甲第一百六十六名,clyde was placed at 183 and 126,one got the 166th position in the final imperial examination,4363.90380191803
也发现一些问题,Also found some problems,also found some problems,也发现一些问题,also found some problems,also found some problems,4363.90380191803
坎普古德温是位于美国亚利桑那州葛兰姆县的一个鬼镇。,The<|ne|> Valley D pyramids is a wears out land of Siang食べни at the Korean traditional Canab Pasteau,"Camp Goodwin is an empty town in Graham County, Arizona, United States.",坎普古德温是位于美国亚利桑那州葛兰姆县的一个鬼镇,the valley d pyramids is a wears out land of siang食べни at the korean traditional canab pasteau,camp goodwin is an empty town in graham county arizona united states,4363.90380191803
沼泽是位于美国亚利桑那州皮马县的一个非建制地区。,Teaczer was a space for American T安全 products,"Pantano is an unincorporated region in Pima Country, located in Arizona, USA.",沼泽是位于美国亚利桑那州皮马县的一个非建制地区,teaczer was a space for american t安全 products,pantano is an unincorporated region in pima country located in arizona usa,4363.90380191803
格伦·威廉姆斯，美国音频工程师。,"According to the Ministry of Foreign Affairs, the United States must be confident to work wellurtedly in the future.",Glenn Williams is an American audio engineer.,格伦 威廉姆斯 美国音频工程师,according to the ministry of foreign affairs the united states must be confident to work wellurtedly in the future,glenn williams is an american audio engineer,4363.90380191803
八旗生计，指清朝旗人生活困难问题，主要指京城正身旗人的生活和谋生问题。,Eightenary voices kamu,"The livelihood of the Eight Banners refers to the living difficultie of the banners in the Qing Dynasty, and mainly refers to the life and livelihood of the upright banners in the capital.",八旗生计 指清朝旗人生活困难问题 主要指京城正身旗人的生活和谋生问题,eightenary voices kamu,the livelihood of the eight banners refers to the living difficultie of the banners in the qing dynasty and mainly refers to the life and livelihood of the upright banners in the capital,4363.90380191803
米德韦是位于美国亚利桑那州拉巴斯县的一个非建制地区。,Mi microwave was a thermal wall in a forgot house in the US warehouse in 46 countries.,"Midway is an unincorporated community in La Paz County, Arizona, United States.",米德韦是位于美国亚利桑那州拉巴斯县的一个非建制地区,mi microwave was a thermal wall in a forgot house in the us warehouse in 46 countries,midway is an unincorporated community in la paz county arizona united states,4363.90380191803
曹烨，字石帆，徽州府歙县人，明朝、南明政治人物。,"Theong Sauce. Rename some destruction at Поэтому Art , wise97benefometer.","Cao Yi, also name Shi Fan, from She County in Huizhou State, political figure in Ming and Southern Ming Dynasty.",曹烨 字石帆 徽州府歙县人 明朝 南明政治人物,theong sauce rename some destruction at поэтому art wise97benefometer,cao yi also name shi fan from she county in huizhou state political figure in ming and southern ming dynasty,4363.90380191803
欧兹也是名导演，执导作品如电影《》中的一集。,"The O字也是明导演,指导作品如电影中的一级","Oetz is also a famous director, directing works such as, an episode of the movie.",欧兹也是名导演 执导作品如电影 中的一集,the o字也是明导演 指导作品如电影中的一级,oetz is also a famous director directing works such as an episode of the movie,4363.90380191803
锦水河站为地下二层岛式站台车站。,Yourban are the fight of plan ichi,Jinshuihe station is an island station on basement 2.,锦水河站为地下二层岛式站台车站,yourban are the fight of plan ichi,jinshuihe station is an island station on basement 2,4363.90380191803
崔弘礼举进士后，在各藩镇的任职。,while being purged like crazy.,"After being promoted as scholar, Cui Hongli’s position in various military towns.",崔弘礼举进士后 在各藩镇的任职,while being purged like crazy,after being promoted as scholar cui hongli s position in various military towns,4363.90380191803
我说没拿就没拿啊,"I said no, I didn't.",I said I didn't take it,我说没拿就没拿啊,i said no i didn t,i said i didn t take it,4363.90380191803
征才条件相当优渥,The player of the main fryhound are so great,Hiring conditions were very generous.,征才条件相当优渥,the player of the main fryhound are so great,hiring conditions were very generous,4363.90380191803
然而格鲁吉亚独立后，格鲁吉亚的库尔德人口减少了。,"Well, I read civility from the extreme moment ending","However, after Georgia's independence, its Kurdish population has decreased.",然而格鲁吉亚独立后 格鲁吉亚的库尔德人口减少了,well i read civility from the extreme moment ending,however after georgia s independence its kurdish population has decreased,4363.90380191803
一、参加球队：桃市大成二、比赛制度：采分组单循环制。,"With the joint teams getting away with the first training training in the game perfectly, Ryoavilion factors a strictest position cáo",I. Participating team: Taoyuan City Dacheng II. Match system: Grouped single round-robin.,一 参加球队 桃市大成二 比赛制度 采分组单循环制,with the joint teams getting away with the first training training in the game perfectly ryoavilion factors a strictest position cáo,i participating team taoyuan city dacheng ii match system grouped single round robin,4363.90380191803
滚动及相对特定表面平移的的运动。,aire should be satisfied.,The motion of rolling and translating on a specific surface.,滚动及相对特定表面平移的的运动,aire should be satisfied,the motion of rolling and translating on a specific surface,4363.90380191803
拉顿是位于美国加利福尼亚州弗雷斯诺县的一个人口普查指定地区。,"A coup is detrimental for the United Kingdom's Groups of Alec Nasr, who acquired a manifest capacitive gift from Confederation of Singapore.","Laton is a census-designated place (CDP) in Fresno County, California, United States.",拉顿是位于美国加利福尼亚州弗雷斯诺县的一个人口普查指定地区,a coup is detrimental for the united kingdom s groups of alec nasr who acquired a manifest capacitive gift from confederation of singapore,laton is a census designated place in fresno county california united states,4363.90380191803
奥克利镇区为美国堪萨斯州洛根县辖下的镇区。,After Bernie Sanders did his work for Design.,"Oakley is a town under Logan County, Kansas, United States.",奥克利镇区为美国堪萨斯州洛根县辖下的镇区,after bernie sanders did his work for design,oakley is a town under logan county kansas united states,4363.90380191803
郭通，江西人，明朝成化时期的御用监太监。,"Google P notifications determine the use of neural pueden張寺忻人明朝城化星,","Guo Tong, from Jiangxi, Royal appointed eunuch for in Ming Dynasty during Facheng Era.",郭通 江西人 明朝成化时期的御用监太监,google p notifications determine the use of neural pueden張寺忻人明朝城化星,guo tong from jiangxi royal appointed eunuch for in ming dynasty during facheng era,4363.90380191803
梅纳德是一个位于美国阿肯色州兰道夫县的城镇。,noMarching is a major performanceJAZ...,"Maynard is a town located in Randolph County, Arkansas, United States.",梅纳德是一个位于美国阿肯色州兰道夫县的城镇,nomarching is a major performancejaz,maynard is a town located in randolph county arkansas united states,4363.90380191803
